Time,Type,Value,Value2,Value = megajoules,Value2 = Total for the time period
1561-1570,Human,4373,19167,,
1600-1609,Human,4161,16927,,
1650-1659,Human,4521,20253,,
1700-1709,Human,4789,29602,,
1750-1759,Human,4519,35089,,
1800-1809,Human,4233,52347,,
1850-1859,Human,3564,96463,,
1561-1570,Draught Animal,6210,,,
1600-1609,Draught Animal,4647,,,
1650-1659,Draught Animal,4802,,,
1700-1709,Draught Animal,5744,,,
1750-1759,Draught Animal,5113,,,
1800-1809,Draught Animal,3471,,,
1850-1859,Draught Animal,2633,,,
1561-1570,Firewood,6324,,,
1600-1609,Firewood,4729,,,
1650-1659,Firewood,3849,,,
1700-1709,Firewood,3939,,,
1750-1759,Firewood,3429,,,
1800-1809,Firewood,1877,,,
1850-1859,Firewood,118,,,
1561-1570,Wind,59,,,
1600-1609,Wind,85,,,
1650-1659,Wind,153,,,
1700-1709,Wind,238,,,
1750-1759,Wind,427,,,
1800-1809,Wind,1282,,,
1850-1859,Wind,1280,,,
1561-1570,Water,162,,,
1600-1609,Water,152,,,
1650-1659,Water,156,,,
1700-1709,Water,173,,,
1750-1759,Water,198,,,
1800-1809,Water,111,,,
1850-1859,Water,89,,,
1561-1570,Coal,2039,,,
1600-1609,Coal,3153,,,
1650-1659,Coal,6772,,,
1700-1709,Coal,14719,,,
1750-1759,Coal,21403,,,
1800-1809,Coal,41373,,,
1850-1859,Coal,88779,,,
