Time,Category,Value
2017,Overall satisfaction,0.842
2017,Course teaching,0.846
2017,Learning opportunities,0.836
2017,Assessment and feedback,0.734
2017,Academic support,0.799
2017,Organisation and management ,0.753
2017,Learning resources,0.851
2017,Learning community,0.772
2017,Student voice,0.732
2018,Overall satisfaction,0.835
2018,Course teaching,0.842
2018,Learning opportunities,0.831
2018,Assessment and feedback,0.733
2018,Academic support,0.796
2018,Organisation and management ,0.747
2018,Learning resources,0.854
2018,Learning community,0.766
2018,Student voice,0.733
2019,Overall satisfaction,0.837
2019,Course teaching,0.841
2019,Learning opportunities,0.832
2019,Assessment and feedback,0.734
2019,Academic support,0.799
2019,Organisation and management ,0.75
2019,Learning resources,0.857
2019,Learning community,0.759
2019,Student voice,0.737
2020,Overall satisfaction,0.826
2020,Course teaching,0.839
2020,Learning opportunities,0.829
2020,Assessment and feedback,0.726
2020,Academic support,0.794
2020,Organisation and management ,0.738
2020,Learning resources,0.858
2020,Learning community,0.757
2020,Student voice,0.736
2021,Overall satisfaction,0.754
2021,Course teaching,0.799
2021,Learning opportunities,0.79
2021,Assessment and feedback,0.686
2021,Academic support,0.735
2021,Organisation and management ,0.697
2021,Learning resources,0.736
2021,Learning community,0.665
2021,Student voice,0.664
