Time,Category,Value,Detail
November,GB average,6.8,"Value = satisfaction on a scale of 0 to 10, where 0 is “not at all” and 10 is “completely”."
November,Students in England,5.2,
January,UK average,6.4,
January,Students in England,4.6,
February,UK average,6.6,
February,Students in England,4.9,
March,UK average,6.7,
March,Students in England,5.2,
April,UK average,6.9,
April,Students in England,5.8,
May,UK average,7.1,
May,Students in England,5.8,
June,UK average,7,
June,Students in England,5.9,
