Year,Type,Value1
2012,Good / Very Good,53
2013,Good / Very Good,50
2014,Good / Very Good,44
2015,Good / Very Good,40
2016,Good / Very Good,37
2017,Good / Very Good,35
2018,Good / Very Good,38
2019,Good / Very Good,41
2020,Good / Very Good,39
2021,Good / Very Good,27
2012,Poor / Very Poor,18
2013,Poor / Very Poor,21
2014,Poor / Very Poor,26
2015,Poor / Very Poor,29
2016,Poor / Very Poor,32
2017,Poor / Very Poor,34
2018,Poor / Very Poor,32
2019,Poor / Very Poor,29
2020,Poor / Very Poor,31
2021,Poor / Very Poor,44
